Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England NW and N Wales
Areal series, starting in 1836
Last updated 01-May-2025 11:46
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1886  142.9   39.7  114.4   71.2  146.1   52.7  129.5   64.0  141.7  166.4  119.2  169.0   241.5   331.8   246.2   427.3  1356.8
1887   92.8   50.1   55.2   53.5   59.6   23.7   67.4   67.4  125.5   82.2   80.3  105.4   311.9   168.3   158.5   288.0   863.0
1888   54.7   32.4   82.0   61.6   44.0   67.6  181.3  111.8   41.3   95.1  177.6  108.1   192.5   187.6   360.7   313.9  1057.4
1889   59.9   71.8   80.0  100.8   85.5   23.7   86.2  149.8   80.3  138.4   67.2  107.8   239.8   266.3   259.7   285.9  1051.3
1890  172.6   26.7   89.3   43.0   74.5   99.3   90.8  137.6   82.0   86.6  216.6   26.7   307.1   206.8   327.7   385.2  1145.7
1891   85.0    9.7   56.2   65.4   77.7   80.6   91.0  214.3  150.5  167.5  120.9  220.2   121.3   199.3   385.9   438.9  1339.0
1892  102.3   63.5   37.3   41.3  109.8   94.0   79.0  164.1  153.8  171.3   91.6   73.1   386.0   188.4   337.2   416.7  1181.1
1893   56.5  146.2   39.6   19.2   57.9   62.8   97.7  109.0  112.2  123.8   85.4  146.7   275.8   116.7   269.5   321.4  1057.0
1894  126.5  163.1   87.4   54.9   97.9   79.8   94.1  126.3   21.7  135.9  138.7  120.5   436.3   240.1   300.3   296.2  1246.7
1895   92.7   15.0  120.4   73.9   21.5   47.3  155.1  124.3   43.6  141.6  137.5  109.5   228.2   215.8   326.7   322.7  1082.4
1896   63.7   53.1  155.1   50.5   13.8   84.7   99.7   82.8  176.7  150.4   44.6  155.6   226.3   219.4   267.2   371.7  1130.7
1897   42.7   96.6  149.7   85.3   50.1  100.6   49.7  145.9  129.8   66.3  144.2  174.4   294.9   285.1   296.1   340.2  1235.1
1898  100.1  104.1   43.6   86.5  105.9   81.6   31.0  168.0   56.6  136.2  103.8  148.0   378.6   236.0   280.5   296.6  1165.4
1899  189.2   87.6   68.4  113.7   90.0   56.1   79.6   44.2  136.0  104.6  105.3   85.3   424.8   272.2   180.0   346.0  1160.2
1900  137.3  121.7   24.6   68.5   66.6   94.0   59.9  176.5   63.3  168.7  121.3  173.1   344.4   159.7   330.4   353.4  1275.7
1901   80.9   45.7  100.1   79.8   35.2   68.8   62.1  111.0   54.8  117.8  141.6  151.1   299.7   215.1   241.9   314.1  1048.8
1902   86.9   42.3   76.8   60.4   95.0   57.1   80.3   90.8   53.5  116.2   81.7  124.4   280.3   232.2   228.3   251.4   965.6
1903  153.1  135.7  182.3   54.3   90.5   48.7  116.4  173.2  156.9  272.5  108.4   97.5   413.3   327.0   338.2   537.8  1589.4
1904  127.2  116.8   76.9   89.8   74.4   51.9   66.4  125.4   61.6   65.3   87.7  109.5   341.5   241.0   243.8   214.6  1052.9
1905   62.6   64.8  125.7   97.2   39.1   68.8   64.9  137.3   77.0   98.2  133.2   48.8   236.9   262.1   271.0   308.4  1017.7
1906  172.1  101.0   97.4   41.9  128.5   54.4   52.9  132.2   42.0  183.4  105.8  117.1   321.9   267.8   239.5   331.2  1228.7
1907   57.0   67.3   94.0   65.3  105.3  167.8   82.4  124.2   22.4  177.4  101.5  142.5   241.4   264.6   374.3   301.4  1207.1
1908  111.0   91.5  115.3   74.1   90.0   72.8  116.8  123.0  130.0   59.0  103.4  102.9   345.0   279.4   312.6   292.4  1189.9
1909   83.3   58.3   96.7   97.9   51.4   76.6  143.8   87.7   93.1  192.4   58.9  188.4   244.5   246.0   308.1   344.4  1228.4
1910  130.8  150.7   52.1   95.3   73.6   81.6  125.7  169.2   16.3   91.8  151.9  160.2   469.8   221.0   376.5   260.0  1299.3
1911   51.8  124.5   56.6   81.3   55.5   98.7   25.4  102.7  111.8  112.1  151.0  208.2   336.5   193.4   226.8   374.9  1179.6
1912  105.8   71.2  171.3   20.5   57.9  147.6  126.5  186.8   50.3  134.8  122.0  152.7   385.3   249.8   460.9   307.2  1347.6
1913  129.4   63.9  150.2  139.3   79.7   86.8   38.0   68.0   78.2  101.2  138.3   92.6   346.0   369.2   192.8   317.7  1165.7
1914   99.8  129.8  138.9   37.7   69.6   56.9  127.3   94.1   80.6   52.9  158.3  214.0   322.1   246.2   278.3   291.9  1259.9
1915  146.2  162.5   52.1   67.5   52.7   35.1  124.5  109.8   35.0   54.5   80.3  218.2   522.6   172.2   269.4   169.9  1138.4
1916  113.8  135.9   66.1   87.5   98.3   78.9   77.1   86.3   88.5  215.2  131.2   95.5   468.0   252.0   242.4   435.0  1274.4
1917   68.4   39.2   75.9   67.5   79.8   71.5   49.6  227.3   88.8  199.7  127.6   65.6   203.1   223.1   348.4   416.1  1160.8
1918  113.4  140.6   52.1   38.9   78.6   56.4  125.0   95.2  273.3  135.1   85.6  199.2   319.7   169.6   276.6   493.9  1393.3
1919  130.9   45.0  156.4   73.2   40.2   64.5   48.8  110.5   93.9   84.9   87.8  197.8   375.0   269.9   223.8   266.6  1134.1
1920  152.1  114.7  157.1  148.5  141.8   78.8  187.0   77.9   93.6   66.8   71.5  106.5   464.7   447.4   343.7   231.9  1396.3
1921  192.8   12.2  134.0   42.1   67.5   13.2   66.4  170.5   48.1   87.7   79.1  164.3   311.5   243.6   250.0   214.9  1077.9
1922  128.0  138.5   83.8   76.9   49.8   66.8  140.5  115.2  109.6   36.0   70.9  170.2   430.9   210.6   322.4   216.5  1186.3
1923  108.6  185.3   50.0   93.0  100.6   35.2  109.5  174.2  139.9  205.4  159.6  136.2   464.1   243.5   318.9   504.9  1497.5
1924  109.6   27.4   43.1   73.9  154.2   81.5  139.3  146.8  158.8  132.1   84.2  186.9   273.2   271.2   367.7   375.0  1337.7
1925  107.4  177.2   46.1   92.0  127.8    5.3   66.7  118.7  120.9  153.8   78.7  114.3   471.5   265.9   190.7   353.5  1209.0
1926  141.2  122.9   49.3   59.4   88.6   79.1  119.7  119.6  115.2  109.9  191.6   39.4   378.4   197.3   318.5   416.8  1236.1
1927  134.6   77.1  123.0   74.8   54.4  131.5  114.3  196.8  182.0  127.5  148.1   46.2   251.0   252.3   442.7   457.5  1410.3
1928  252.7  141.4   91.5   45.3   36.3  171.7   97.4  162.4   59.3  180.2  217.2  101.8   440.3   173.1   431.6   456.7  1557.3
1929   52.0   31.4   24.6   38.8   74.0   63.0  108.2  145.8   60.4  177.8  248.8  235.3   185.3   137.5   317.1   487.1  1260.5
1930  191.7   15.4   88.4   75.4   56.1   59.9  136.0  175.1  106.1  197.9  159.8  147.9   442.3   219.9   371.0   463.8  1409.6
1931  127.3  124.7   24.6   95.6   93.8  156.2  121.5  142.9   89.3   78.9  221.9   90.8   399.9   214.0   420.6   390.1  1367.4
1932  168.2    4.2   86.6  112.8  116.7   40.3  148.7   48.5  135.3  202.0   98.6  107.8   263.2   316.1   237.4   435.9  1269.6
1933  115.2  117.6   80.7   43.6   57.2   74.6   84.8   60.9   34.2  134.9   52.6   30.0   340.6   181.6   220.3   221.7   886.3
1934  134.0   10.2   84.1   83.1   95.7   63.2   50.3  130.4  116.6  176.7   54.4  196.6   174.2   262.9   243.8   347.8  1195.4
1935   63.9  166.6   38.8  101.8   33.3  125.8   45.9   63.5  201.0  207.4  147.3   92.0   427.1   173.9   235.2   555.6  1287.2
1936  148.7   73.4   77.2   41.7   38.8  118.7  142.5   65.4  137.9  108.7  145.4  168.0   314.1   157.8   326.7   392.0  1266.6
1937  131.5  174.8   63.9   93.6   58.2   63.5   72.5   59.2   81.2   84.2   49.4   92.2   474.3   215.7   195.3   214.9  1024.2
1938  167.0   54.1   57.7   14.2   94.6  134.7  145.9  102.8   63.3  240.6  182.8  130.2   313.3   166.5   383.5   486.7  1388.1
1939  181.7  126.2   86.9   66.9   31.5   88.4  193.8   68.6   39.7   75.2  202.1   86.3   438.0   185.3   350.7   317.1  1247.3
1940   73.9   74.2  109.2   73.3   50.7   29.4  131.1   45.4  114.1  140.9  197.2  120.4   234.4   233.2   205.9   452.3  1159.7
1941   59.5  125.8   92.7   48.1   81.1   21.5   58.2  149.5   34.4  148.1   86.7   75.0   305.7   221.9   229.2   269.3   980.7
1942  142.5   51.4   85.6   63.8  109.5   20.6  115.3  124.8  112.6  142.8   32.5  153.8   269.0   258.9   260.7   287.9  1155.2
1943  181.3   93.5   40.0   66.2  109.5  104.5   93.5  162.2  142.4  144.2   96.7   65.3   428.5   215.7   360.2   383.3  1299.3
1944  157.9   59.8   23.5   65.6   71.8   91.7   92.0   92.7  153.0  149.5  211.0  122.5   283.1   160.9   276.4   513.5  1291.1
1945  103.8  138.4   60.3   66.7  110.4  108.7   77.5   69.1   94.7  150.5   14.0  103.1   364.7   237.5   255.3   259.2  1097.3
1946  157.0  147.8   50.3   39.1   51.3  110.7  110.4  164.0  182.5   30.5  196.6  144.2   407.9   140.7   385.1   409.6  1384.4
1947  119.3   37.1  180.3  129.8   86.8   81.1   99.4   10.2   93.2   23.2  169.3   94.4   300.6   396.9   190.7   285.7  1124.0
1948  252.6   89.5   74.5   62.3   48.5  153.9   76.6  145.8  124.3   93.7   97.2  140.9   436.4   185.2   376.3   315.1  1359.6
1949   90.9   78.0   62.8  123.7   83.0   25.2   72.3   78.5   46.3  167.3  166.2  192.6   309.9   269.6   176.0   379.7  1186.9
1950   69.7  170.9   73.9  107.2   41.0   72.2  107.4  191.2  233.6  105.4  143.6   91.0   433.2   222.1   370.8   482.6  1407.2
1951  121.0  119.4  145.7   82.4   66.7   37.4   74.7  142.7  130.5   34.2  237.1  221.8   331.4   294.9   254.8   401.8  1413.7
1952  133.8   43.5   70.6   80.4   68.8   87.7   62.2  124.1  112.2  139.8   84.0  125.3   399.1   219.8   274.1   335.9  1132.4
1953   56.2   63.7   47.5   94.0   68.0   65.3  146.4  126.4  144.8   64.9  157.8   62.7   245.3   209.4   338.1   367.5  1097.7
1954  107.9  102.6   91.9   35.0   93.7  118.7  144.9  152.6  167.7  256.6  231.5  159.6   273.2   220.6   416.2   655.8  1662.7
1955   92.2   63.5   58.9   71.1  109.9  113.2   39.8   46.6   81.6   80.6   61.5  154.5   315.3   239.8   199.7   223.7   973.4
1956  123.9   25.5   53.6   50.0   50.2   70.4  144.9  253.3  106.4   96.0   55.2  139.4   303.8   153.8   468.6   257.6  1168.8
1957  142.5  103.6  105.5   21.0   66.8   53.2  157.1  164.2  189.6  153.2   60.5  123.3   385.5   193.4   374.5   403.3  1340.5
1958  122.9  178.7   42.0   40.1  116.0  114.9  117.9  118.3  167.3  121.8   58.3  108.6   424.9   198.1   351.0   347.4  1306.7
1959  111.6   29.9   70.4  111.3   42.5   87.1  104.4   23.6   20.4  143.9  165.9  222.5   250.1   224.2   215.1   330.1  1133.4
1960  180.4  122.7   47.1   81.8   56.0   57.7  145.0  122.7  116.6  119.2  235.3  145.9   525.5   184.9   325.4   471.1  1430.4
1961  151.6  105.4   39.2  112.3   59.9   56.5  116.0  145.4  109.0  172.8   98.2  110.5   402.9   211.4   317.9   380.0  1276.6
1962  170.0   87.2   51.7  109.0   89.9   53.7   63.3  179.3  138.6   66.2   78.2  110.1   367.6   250.7   296.3   282.9  1197.1
1963   26.1   23.0  139.7  106.7   81.4  117.2   68.0  121.8  117.7  102.6  206.4   34.9   159.2   327.9   307.0   426.7  1145.7
1964   46.6   30.1   78.5   77.0   90.8   68.6   99.0   99.8   74.2  105.4   98.5  213.2   111.7   246.3   267.4   278.0  1081.6
1965  157.8   18.9   77.6   89.7   88.0  109.1  109.1  102.3  170.2   77.3  108.2  232.3   389.9   255.3   320.5   355.7  1340.5
1966   66.4  152.4   81.3  102.3  100.6  123.2   91.3  110.5  107.3  124.6  125.3  183.5   451.0   284.2   324.9   357.3  1368.6
1967   79.3  132.4   75.7   49.1  166.6   63.7  118.6  121.5  160.9  286.1  101.4  115.7   395.2   291.3   303.8   548.4  1470.9
1968  142.7   51.6  134.1   74.4   97.8   87.3  101.7   69.4  198.8  157.2   77.2   75.6   310.0   306.3   258.4   433.2  1267.9
1969  118.7   83.9   69.0   85.4  133.3   84.8   46.9   89.5   68.8   46.5  204.3  123.8   278.2   287.7   221.2   319.6  1154.8
1970  114.6  124.1   91.3  143.1   24.9   65.2  101.3  114.7  111.8  152.4  203.5   61.1   362.5   259.3   281.2   467.7  1308.0
1971   99.6   81.0   82.0   54.4   55.6   94.4   71.2  153.5   44.6  116.5  131.4   45.7   241.6   192.0   319.0   292.5  1029.8
1972  123.7   76.0  106.6  112.7  101.0  124.1   95.6   58.8   37.0   46.3  183.8  136.2   245.4   320.4   278.5   267.1  1201.9
1973   77.4   76.5   53.1   84.4   94.2   38.3  117.3  126.4   99.9   89.2  102.9  126.5   290.1   231.7   282.0   291.9  1086.0
1974  196.9  131.7   66.1    9.9   55.4   72.2  137.9   90.7  194.8  106.6  164.9  158.3   455.1   131.4   300.9   466.3  1385.5
1975  208.0   38.4   63.2   97.3   39.8   31.5  110.3   79.1  146.6   61.9  105.5   85.1   404.6   200.3   220.9   314.0  1066.6
1976  135.8   71.2   77.1   45.3  108.4   32.6   47.7   13.6  187.4  169.0  105.5   87.5   292.1   230.8    94.0   461.9  1081.2
1977  110.5  169.1   92.5   94.3   48.0  114.6   47.1   83.3  101.3  142.8  173.5  122.2   367.2   234.8   245.0   417.6  1299.3
1978  141.2   88.0  129.5   44.0   33.2   82.1   95.0  116.2  128.6   50.0  150.0  160.9   351.4   206.7   293.3   328.6  1218.7
1979   97.4   43.7  157.6   80.7  137.5   45.2   45.9  129.9   90.9  102.2  168.1  232.8   302.0   375.8   220.9   361.2  1331.8
1980  114.9  134.0  120.8    8.5   35.8  147.4   72.7  134.4  105.0  203.9  164.2  167.7   481.8   165.1   354.4   473.1  1409.2
1981  116.6   80.1  225.3   51.6   94.9   83.1   75.9   58.0  192.3  209.9  152.3   81.7   364.5   371.8   217.0   554.5  1421.8
1982  125.3   82.9  145.3   28.8   57.9  120.7   44.5  142.2  110.9  134.3  203.1  172.2   289.9   231.9   307.4   448.3  1368.0
1983  187.5   49.7  124.2  100.0  124.7   56.7   42.0   59.4  147.5  168.7   61.1  176.1   409.4   348.9   158.1   377.2  1297.5
1984  188.8   80.6   55.2   17.8   37.7   64.3   30.7   80.0  168.6  160.8  196.8  114.8   445.5   110.6   174.9   526.1  1195.8
1985   72.7   31.3   85.4  108.8   74.7   99.2  112.1  191.5  103.7   75.8  120.0  177.1   218.9   268.9   402.8   299.5  1252.4
1986  164.4    9.0  129.6   98.0  114.4   58.4   82.8  130.9   18.9  151.8  185.3  246.6   350.5   341.9   272.1   356.1  1390.1
1987   46.2   83.8  143.8   67.5   57.0  134.4  114.0  105.9  117.9  207.0  101.2  121.5   376.5   268.4   354.4   426.0  1300.4
1988  201.6   93.6  156.7   59.1   70.8   37.0  180.7  142.7  118.4  123.1   72.0  111.4   416.7   286.6   360.3   313.5  1367.1
1989   80.1  148.0  156.1   96.3   36.6   82.5   36.7  112.7   36.6  153.5   96.3  136.6   339.5   289.0   231.9   286.4  1171.9
1990  218.5  205.4   43.4   58.1   43.9   98.6   57.3   73.2   88.9  171.2   93.7  166.7   560.4   145.4   229.1   353.8  1319.0
1991  108.4   94.6  111.4   94.4   19.9  105.9   76.3   65.7   70.4  132.7  164.1  108.6   369.8   225.7   247.9   367.3  1152.5
1992   64.1   96.4  147.7   97.0   72.7   48.1   83.2  168.6  114.5  123.1  184.4  126.2   269.1   317.4   299.9   422.0  1326.0
1993  170.7   21.1   37.2  119.6  139.1   69.8  108.3   85.9   96.5   55.1   77.2  266.0   318.0   296.0   264.0   228.8  1246.6
1994  165.8   90.7  176.5  118.4   41.6   67.2   67.6   99.0  124.5  122.3  133.7  230.0   522.5   336.6   233.7   380.6  1437.5
1995  219.4  176.6  102.7   33.9   70.2   37.1   77.0   18.2  108.0  101.5   84.8   57.3   626.0   206.8   132.3   294.3  1086.7
1996   59.2  112.6   47.0   80.8   76.3   48.5   60.7   93.3   60.2  160.5  159.2   62.5   229.2   204.1   202.5   379.9  1020.8
1997   12.0  214.7   69.8   40.0  108.1  119.6   76.8   78.2   80.3   74.5  126.3  157.9   289.3   217.8   274.6   281.1  1158.2
1998  159.3   61.2  156.2  117.2   42.3  161.0  103.6  103.6  106.4  234.7  129.5  116.7   378.5   315.6   368.2   470.7  1491.7
1999  205.0   88.3  103.8   97.1   89.6   97.4   41.5  101.5  155.7  121.0  109.4  237.9   410.0   290.5   240.5   386.1  1448.2
2000  132.5  152.0   76.0  109.0   81.3   96.9   85.7  107.3  160.8  259.5  252.6  176.6   522.4   266.4   290.0   672.9  1690.4
2001   77.6  117.0   69.0  127.6   56.6   55.2   76.7  115.3  121.1  165.4  114.8   78.8   371.2   253.3   247.2   401.4  1175.2
2002  144.6  242.0   63.7   89.1  113.7   95.2   90.6   98.7   47.0  172.3  170.2  140.5   465.3   266.5   284.5   389.5  1467.5
2003  102.0   56.0   71.6   66.9  133.7   76.3  101.6   22.2   89.3   70.4  133.0  147.0   298.6   272.2   200.1   292.7  1070.1
2004  172.7  102.4   74.3   71.4   52.9   86.2   82.1  197.7  143.5  191.2   90.0  132.3   422.1   198.6   365.9   424.8  1396.8
2005  137.5   75.0   63.3  115.3   73.9   67.3   62.8   83.0  104.7  182.5  151.2   89.9   344.8   252.6   213.1   438.4  1206.4
2006   69.5   76.4  159.5   80.2  133.4   41.1   46.2  123.9   99.8  167.4  160.3  237.9   235.8   373.1   211.2   427.5  1395.7
2007  182.9   98.3   81.5   32.5  102.8  172.0  175.5   78.4  102.5   61.8   98.0  170.8   519.2   216.8   425.9   262.3  1357.0
2008  235.2   80.1  125.4   84.5   34.9  109.5  130.9  153.0  146.9  245.1  101.9  100.2   486.1   244.8   393.4   494.0  1547.7
2009  138.4   27.3   69.3   57.5   99.6   63.9  180.3  125.9   59.1  106.9  306.1  124.3   266.0   226.4   370.1   472.0  1358.6
2010   76.4   56.9   83.1   34.5   38.1   40.2  165.1   83.1  153.6  110.8  139.2   45.0   257.6   155.7   288.4   403.5  1025.9
2011  125.8  154.8   42.9   40.6  114.1   84.2   93.2  114.9  136.5  129.5   86.2  210.1   325.6   197.5   292.4   352.2  1332.8
2012  125.5   69.0   31.8  128.5   77.5  205.7  141.6  142.2  177.7  140.7  160.6  223.9   404.6   237.8   489.4   479.1  1624.6
2013  109.9   64.2   66.3   54.6   98.6   61.5   94.3  100.5   78.5  185.2   96.2  188.5   398.0   219.5   256.4   359.9  1198.4
2014  205.2  188.0   90.3   56.8  115.3   45.7   69.1  139.8   16.4  171.9  103.1  167.1   581.8   262.3   254.6   291.4  1368.7
2015  167.6   77.7  109.6   49.3  141.7   49.8  109.6   99.8   53.0   67.9  260.9  342.9   412.5   300.5   259.2   381.8  1529.8
2016  203.6  142.9   84.3  100.5   54.1  126.4  107.9  123.6  111.7   40.8  123.5   80.3   689.3   238.9   357.9   275.9  1299.5
2017   74.3  112.0  150.3   26.0   60.9  136.3  120.7  115.1  170.0  145.2  147.4  143.8   266.6   237.1   372.0   462.6  1401.8
2018  152.4   77.9   88.7   94.8   46.8   32.8   57.4   98.4  136.9  113.6  118.9  158.1   374.1   230.3   188.6   369.4  1176.8
2019   72.8   82.8  187.3   75.6   57.1  133.9  113.6  163.9  186.3  154.7  126.8  147.9   313.7   319.9   411.4   467.8  1502.7
2020  130.2  293.2   91.7   25.1   19.1  140.1  141.4  185.0   83.1  205.0  139.5  190.1   571.2   135.8   466.5   427.5  1643.3
2021  199.1  133.0  123.3   15.2  159.5   28.3   84.6   80.1   99.9  218.9   89.8  167.8   522.1   298.0   193.0   408.6  1399.4
2022   64.8  196.0   42.0   49.8   71.6   72.3   63.8   58.0  118.5  175.7  169.0  151.9   428.6   163.4   194.2   463.2  1233.5
2023  172.0   33.6  168.1   72.6   34.7   71.3  199.2  116.2  167.0  170.5  161.2  233.7   357.6   275.4   386.6   498.7  1600.1
2024  163.4  145.7  130.7  135.6  114.4   62.6   94.5  126.2  138.3  121.3   98.3  185.9   542.8   380.7   283.3   358.0  1517.1
2025  111.9   65.1   28.4   35.4                                                           362.9                                
